index	red ir
1556	23635	27322
1557	23659	27256
1558	23669	27243
1559	23670	27281
1560	23634	27291
1561	23671	27246
1562	23690	27253
1563	23643	27290
1564	23655	27242
1565	23662	27222
1566	23644	27267
1567	23624	27231
1568	23676	27187
1569	23662	27248
1570	23612	27239
1571	23650	27185
1572	23648	27213
1573	23596	27212
1574	23651	27165
1575	23661	27184
1576	23614	27197
1577	23629	27130
1578	23615	27139
1579	23596	27170
1580	23615	27130
1581	23648	27113
1582	23599	27164
1583	23597	27130
1584	23627	27106
1585	23620	27171
1586	23600	27187
1587	23652	27145
1588	23671	27168
1589	23613	27213
1590	23644	27188
1591	23641	27173
1592	23635	27234
1593	23640	27204
1594	23679	27188
1595	23647	27236
1596	23636	27225
1597	23662	27182
1598	23659	27244
1599	23637	27268
1600	23672	27209
1601	23693	27215
1602	23657	27274
1603	23646	27206
1604	23664	27189
1605	23645	27253
1606	23628	27241
1607	23670	27201
1608	23683	27217
1609	23647	27251
1610	23636	27266
1611	23662	27213
1612	23667	27208
1613	23640	27262
1614	23637	27235
1615	23684	27208
1616	23691	27271
1617	23655	27290
1618	23671	27245
1619	23679	27218
1620	23680	27276
1621	23645	27310
1622	23673	27256
1623	23713	27242
1624	23674	27301
1625	23646	27300
1626	23683	27271
1627	23681	27294
1628	23671	27326
1629	23694	27284
1630	23736	27288
1631	23689	27346
1632	23671	27312
1633	23704	27276
1634	23700	27321
1635	23676	27345
1636	23697	27314
1637	23719	27291
1638	23721	27333
1639	23671	27342
1640	23722	27301
1641	23704	27311
1642	23683	27357
1643	23702	27318
1644	23741	27311
1645	23704	27348
1646	23682	27327
1647	23723	27292
1648	23710	27346
1649	23672	27358
1650	23728	27298
1651	23729	27354
1652	23692	27373
1653	23740	27311
1654	23711	27351
1655	23706	27386
1656	23728	27336
1657	23759	27357
1658	23711	27394
1659	23720	27360
1660	23732	27354
1661	23716	27395
